Cluster ID,confidence_score,Username,Name,Location,User Desc
35,1,rmacellak,macellak,,"civil engineer, addicted to golf and travelling"
36,1,imbangimedia,#JusticeForIBHRSandKM50,Bumi Allah SWT,#IndonesiaTanpaJIL
37,1,kpcdi,KomunitasPasienCuciDarahIDN,Jakarta Capital Region,"Perkumpulan berbasis gerakan sosial pasien​ gagal ginjal, yang mengedukasi dan  mengkampanyekan kesehatan serta memperjuangkan hak pasien || 📞 08111.501.503"
38,1,hanyahiburan6r0,רוח רפאים ים,,"ORANG BODO YANG SOK TAU
🇮🇩 NKRI harga mati 🇮🇩"
39,1,CDR1403,しんtひゃ デビ りあんち,"Tangerang, Indonesia ","Life is a journey .. Which path you choose depends on yourself, there will be no regret that there is only life learning from the path you."
40,1,Kamb1ng_MJK,Seekor Kamb1ng,"Jawa Timur, Indonesia",Aku lupa dengan apa yang baru saja ku lupakan -_-
41,1,KemenkesRI,Kemenkes RI,"Jakarta, Indonesia","Kementerian Kesehatan RI; Jl. HR. Rasuna Said Blok X5 Kav. 4-9, Jakarta Selatan 12950; Telp: (021) 52907416-9 Halo Kemenkes: (kode lokal) 1-500567"
42,1,AikHoki,aik #HOKI,,use ur helmet
43,1,mochamadarip,ʀᴇᴍɪɴɢᴛᴏɴ ꜱᴛᴇᴇʟᴇ,Bermuda,
44,1,holopiscom,holopiscom,"Jakarta Capital Region, Indone",Bersama Untuk Indonesia
45,1,drfrank009,Densis 99 pret,"Maebashi-shi, Gunma","pekerjaan membiarkan dan memelihara komoditas org2 sinting,spesialisasi pekerjaan tdk pernah tuntas,ahli mengalihkan ke kelompok yg tdk disukai"
46,1,EOCRU_Official,Eijkman-Oxford Clinical Research Unit,Jakarta Capital Region,We fight against tropical infections using science and a passion for doing it!
47,1,JatimPemprov,Pemprov Jawa Timur,"Jawa Timur, Indonesia",Akun Resmi Pemerintah Provinsi Jawa Timur timmedsos@jatimprov.go.id
48,1,1404Stj,Abdi NURU,INDONESIA,"FAS TABIQUL KHAIRAATI.

hambaNYA yg amat sngt kecil.
Lbh kecil dr sebuah titik kecil
di Bumi,apalagi di Alam
smesta ciptaan ALLAH.

Cinta Bangsa-NKRI,krn ALLAH."
49,1,uulcha,MissDimples,Indonesia,#INFJ | 🐱🐶 | #ProudToBeATLM
50,1,infoppkk,Pusat Krisis Kesehatan Kemenkes RI,"Kuningan, DKI Jakarta",Akun Resmi Pusat Krisis Kesehatan Kementerian Kesehatan Republik Indonesia
51,1,wendi_bang,Bang Wendi,,
52,1,KoranBUMN,Koran BUMN,"DKI Jakarta, Indonesia","BUMN sebagai Agent of Development yang besar, kuat dan lincah
koranbumn@gmail.com"
53,1,AirinNzBergincu,Gadis Bergincu,,"Akun 1 @Airin_NZ uda Almarhum
Akun ke-2 @AirinAirin_NZ lagi di Karantina.
& ini akun ke 3.."
54,1,sirajapadoha,👁 Hasian 👀,"Jakarta Selatan, DKI Jakarta",Pancasila & NKRI adlh harga mati 🇮🇩 🤝 👊
55,1,dpp_gamki,DPP GAMKI,"DKI Jakarta, Indonesia","Official Account | Dewan Pengurus Pusat Gerakan Angkatan Muda Kristen Indonesia-DPP GAMKI 2019-2022 | Ketum: Willem Wandik, S.Sos | Sekum: Sahat M.P Sinurat S.T"
56,1,drpriono1,Juru Wabah,Indonesia,"Juru Wabah. Dahulu @drpriono, Pandu Riono. PhD (Epidemiology)-UCLA; MPH(Biostatistics) Univ. of Pittsburgh; Dr (FKUI). Bekerja di FKMUI"
57,1,tolakbigotnkri,#TolakPembodohan,,Saya Influencer Jokowi
58,1,WarnoOpa,Opa Warno,,"Hidup ini simpel bae.
tidak usah beli neko.
nikmati apa adanya akan membuat HIDUPMU Bahagia"
59,1,aboutbadminton,About Badminton,,
60,1,KrisyantoOni,Krisyanto Yen Oni,,"RAKYAT JELATA 🇮🇩
#CebongBermartabat"
61,1,monodikotil,Bijinomics,A:\,Biji 1/2
62,1,RadioElshinta,Radio Elshinta,"ÜT: -6.187385,106.733011",Official Twitter of Radio Elshinta | Phone: 021-5869000 & SMS/WA: 0811-80-6543 | Email: redaksielshinta@gmail.com | Frequency 90.00 FM Jakarta
63,1,TriyonoJono,JonoTriyono,,"kerja, demi anak cucu,,,,"
64,1,ARuatomo,Andreas Budi Rustomo,,
65,1,ArunikaSwastam1,ArunikaSwastamita,,"Pemuja Negeri Nirmala
~akun back up"
66,1,setkabgoid,Sekretariat Kabinet,Jakarta,"Akun resmi Sekretariat Kabinet RI. Kontak: humas@setkab.go.id, Facebook: @Setkabgoid, Instagram: @sekretariat.kabinet, YouTube: Sekretariat Kabinet RI"
67,1,Luluk27197299,Luluk,,luluk
68,1,YMerbabu,Cah Merbabu musuh BuzzeRp pekok,Indonesia,Bukan Anak Lurah Godie bag
